title,discipline,ini_year,last_year,title_id,publisher,publication_type,source
American Journal of Botany,Biological Sciences ; Botany & Plant Sciences ; Science & Mathematics,1914,2011,americanjbotany,"Botanical Society of America, Inc.",serial,jstor
Annals of the Missouri Botanical Garden,Biological Sciences ; Botany & Plant Sciences ; Science & Mathematics,1914,2013,annamissbotagard,Missouri Botanical Garden Press,serial,jstor
Archiv fÃ_r Religionspsychologie / Archive for the Psychology of Religion,Humanities ; Psychology ; Religion ; Social Sciences,1914,2011,archreliarchpsyc,Brill,serial,jstor
The Elementary School Journal,Education ; Social Sciences,1914,2013,elemschoj,The University of Chicago Press,serial,jstor
Journal (American Water Works Association),Aquatic Sciences ; Biological Sciences ; Environmental Science ; Medicine & Allied Health ; Public Health ; Science & Mathematics ; Social Sciences ; Urban Studies,1914,2013,jamewatworass,American Water Works Association,serial,jstor
The Journal of Egyptian Archaeology,Archaeology ; Social Sciences,1914,2011,jegyparch,Egypt Exploration Society,serial,jstor
The Journal of Parasitology,Biological Sciences ; Science & Mathematics ; Zoology,1914,2013,jparasitology,Allen Press,serial,jstor
The Catholic Historical Review,History ; History ; Humanities ; Religion,1915,2011,cathhistrev,Catholic University of America Press,serial,jstor
Memoirs of the American Academy in Rome,Architecture & Architectural History ; Art & Art History ; Arts ; Classical Studies ; Humanities,1915,2013,memoameracadrome,University of Michigan Press,serial,jstor
The Musical Quarterly,Arts ; Music,1915,2011,musicalquarterly,Oxford University Press,serial,jstor
Proceedings of the National Academy of Sciences of the United States of America,Biological Sciences ; General Science ; Science & Mathematics,1915,2014,procnatiacadscie,National Academy of Sciences,serial,jstor
Proceedings of the National Academy of Sciences of the United States of America,Proc Natl Acad Sci U S A,1915,2017,na,National Academy of Sciences,na,pmc europe
Geographical Review,Geography ; Social Sciences,1916,2011,geogrevi,American Geographical Society,serial,jstor
History,History ; History,1916,2011,history,Wiley,serial,jstor
The Journal of Negro History,African American Studies ; American Studies ; Area Studies ; History ; History,1916,2001,jnegrohistory,Association for the Study of African American Life and History,serial,jstor
MadroÃ±o,Botany & Plant Sciences ; Science & Mathematics,1916,2013,madrono,California Botanical Society,serial,jstor
The Modern Language Journal,Education ; Humanities ; Language & Literature ; Social Sciences,1916,2013,modernlanguagej,Wiley,serial,jstor
The Phi Delta Kappan,Education ; Social Sciences,1916,2015,phideltkapp,Phi Delta Kappa International,serial,jstor
Genetics,Genetics,1916,2017,na,Genetics Society of America,na,pmc europe
Journal of Anatomy,J Anat,1916,2017,na,Anatomical Society of Great Britain and Ireland,na,pmc europe
Journal of Bacteriology,J Bacteriol,1916,2017,na,American Society for Microbiology (ASM),na,pmc europe
Bulletin of the Ecological Society of America,Biological Sciences ; Ecology & Evolutionary Biology ; Science & Mathematics,1917,2017,bullecosociamer,Wiley,serial,jstor
The Georgia Historical Quarterly,American Studies ; Area Studies ; History ; History,1917,2013,georhistquar,Georgia Historical Society,serial,jstor
Hispania,Area Studies ; Education ; Humanities ; Language & Literature ; Latin American Studies ; Social Sciences,1917,2015,hispania,American Association of Teachers of Spanish and Portuguese,serial,jstor
International Journal of American Linguistics,American Indian Studies ; Anthropology ; Area Studies ; Humanities ; Language & Literature ; Linguistics ; Social Sciences,1917,2013,intejamerling,The University of Chicago Press,serial,jstor
The Wisconsin Magazine of History,American Studies ; Area Studies ; History ; History,1917,2013,wiscmagahist,Wisconsin Historical Society,serial,jstor
The British Journal of Ophthalmology,Br J Ophthalmol,1917,2007,na,BMJ Publishing Group,na,pmc europe
Annals of the Bhandarkar Oriental Research Institute,Area Studies ; Asian Studies ; Humanities ; Language & Literature,1918,2011,annbhaoriresins,Bhandarkar Oriental Research Institute,serial,jstor
Archiv fÃ_r Musikwissenschaft,Arts ; Music,1918,2015,archmusi,Franz Steiner Verlag,serial,jstor
Archivio Storico Italiano,History ; History,1918,2015,archstorital,Casa Editrice Leo S. Olschki s.r.l.,serial,jstor
The High School Journal,Education ; Social Sciences,1918,2015,highschooljour,University of North Carolina Press,serial,jstor
Monthly Labor Review,Business ; Business & Economics ; Labor & Employment Relations ; Management & Organizational Behavior,1918,2017,monthlylaborrev,NA,serial,jstor
"Proceedings of the Aristotelian Society, Supplementary Volumes",Humanities ; Philosophy,1918,2011,procarissocisupp,Wiley,serial,jstor
The Journal of General Physiology,J Gen Physiol,1918,2017,na,The Rockefeller University Press,na,pmc europe
The Art Bulletin,Art & Art History ; Arts,1919,2013,artbulletin,College Art Association,serial,jstor
Journal of Mammalogy,Biological Sciences ; Ecology & Evolutionary Biology ; Science & Mathematics ; Zoology,1919,2013,jmammalogy,American Society of Mammalogists,serial,jstor
The Review of Economics and Statistics,Business ; Business & Economics ; Economics ; Science & Mathematics ; Statistics,1919,2011,revieconstat,The MIT Press,serial,jstor
Aegyptus,Archaeology ; Social Sciences,1920,2011,aegy,Vita e Pensiero â€“ Pubblicazioni dellâ€™UniversitÃ  Cattolica del Sacro Cuore,serial,jstor
Biblica,Humanities ; Religion,1920,2011,biblica,Peeters Publishers,serial,jstor
Ecology,Biological Sciences ; Ecology & Evolutionary Biology ; Science & Mathematics,1920,2014,ecology,Wiley,serial,jstor
The Florida Entomologist,Biological Sciences ; Science & Mathematics ; Zoology,1920,2015,florento,Florida Entomological Society,serial,jstor
Gregorianum,Humanities ; Philosophy ; Religion,1920,2011,gregorianum,GBPress- Gregorian Biblical Press,serial,jstor
The Journal of Educational Research,Education ; Social Sciences,1920,2009,jeducresearch,"Taylor & Francis, Ltd.",serial,jstor
Music & Letters,Arts ; Music,1920,2011,musicletters,Oxford University Press,serial,jstor
Numismatic Notes and Monographs,Archaeology ; Art & Art History ; Arts ; Classical Studies ; Humanities ; Social Sciences,1920,2009,numinotemono,American Numismatic Society,serial,jstor
Orientalia,Area Studies ; Asian Studies ; History ; History,1920,2011,orientalia,GBPress- Gregorian Biblical Press,serial,jstor
The Past: The Organ of the UÃ_ Cinsealaigh Historical Society,Area Studies ; History ; History ; Irish Studies,1920,2016,pastorgcihistsoc,UÃ_ Cinsealaigh Historical Society,serial,jstor
Syria,Archaeology ; Area Studies ; Art & Art History ; Arts ; Middle East Studies ; Social Sciences,1920,2011,syria,Institut Francais du Proche-Orient,serial,jstor
Bulletin of the American Schools of Oriental Research,Anthropology ; Archaeology ; Area Studies ; Classical Studies ; Humanities ; Middle East Studies ; Social Sciences,1921,2013,bullamerschoorie,The American Schools of Oriental Research,serial,jstor
The Cambridge Law Journal,Law ; Law,1921,2011,camblawj,Cambridge University Press,serial,jstor
Economica,Business ; Business & Economics ; Economics,1921,2011,economica,Wiley,serial,jstor
The Journal of Philosophy,Humanities ; Philosophy,1921,2011,jphilosophy,"Journal of Philosophy, Inc.",serial,jstor
The Journal of Religion,Humanities ; Religion,1921,2013,jreligion,The University of Chicago Press,serial,jstor
Revue des Ã©tudes slaves,Humanities ; Language & Literature ; Linguistics ; Social Sciences,1921,2014,revuetudslav,Institut d'Ã©tudes slaves,serial,jstor
The Annual of the American Schools of Oriental Research,Archaeology ; Social Sciences,1922,2013,annuamerschoorie,The American Schools of Oriental Research,serial,jstor
Darwiniana,Botany & Plant Sciences ; Science & Mathematics,1922,2016,darwiniana,Instituto de BotÃ¡nica Darwinion,serial,jstor
Foreign Affairs,International Relations ; Political Science ; Social Sciences,1922,2013,foreignaffairs,Council on Foreign Relations,serial,jstor
Journal of the American Statistical Association,Science & Mathematics ; Statistics,1922,2011,jamerstatasso,"Taylor & Francis, Ltd.",serial,jstor
Oriente Moderno,African Studies ; Area Studies ; Middle East Studies,1922,2013,orientemoderno,Istituto per l'Oriente C. A. Nallino,serial,jstor
Revue de Musicologie,Arts ; Music,1922,2013,revuemusicologie,SociÃ©tÃ© FranÃ§aise de Musicologie,serial,jstor
Revue historique de droit franÃ§ais et Ã©tranger (1922-),History ; History ; Law ; Law,1922,2014,histdroifranetra,Editions Dalloz,serial,jstor
Archives de Philosophie,Humanities ; Philosophy,1923,2013,archphil,Centre SÃ¨vres â€“ FacultÃ©s jÃ©suites de Paris,serial,jstor
Peabody Journal of Education,Education ; Social Sciences,1923,2009,peabjeduc,"Taylor & Francis, Ltd.",serial,jstor
Annales historiques de la RÃ©volution franÃ§aise,History ; History,1924,2013,annahistrevofran,Armand Colin,serial,jstor
Anthropologischer Anzeiger,Anthropology ; Social Sciences,1924,2011,anthanze,E. Schweizerbart'sche Verlagsbuchhandlung,serial,jstor
Byzantion,Art & Art History ; Arts,1924,2011,byzantion,Peeters Publishers,serial,jstor
Franciscan Studies,Humanities ; Religion,1924,2013,franstud,St. Bonaventure University - Franciscan Institute Publications,serial,jstor
Hebrew Union College Annual,Area Studies ; Humanities ; Jewish Studies ; Religion,1924,2012,hebruniocollannu,Hebrew Union College - Jewish Institute of Religion,serial,jstor
Historische Zeitschrift. Beihefte,History ; History,1924,2006,histzeitbeih,Oldenbourg Wissenschaftsverlag GmbH (and its subsidiary Akademie Verlag GmbH),serial,jstor
Ibero-amerikanisches Archiv,Area Studies ; Latin American Studies,1924,2.00E+03,iberamerarch,Iberoamericana Editorial Vervuert,serial,jstor
Marburger Jahrbuch fÃ_r Kunstwissenschaft,Art & Art History ; Arts,1924,2013,marbjahrkuns,Verlag des Kunstgeschichtlichen Seminars der Philipps-UniversitÃ_t Marburg,serial,jstor
The North Carolina Historical Review,History ; History,1924,2013,nortcarohistrevi,North Carolina Office of Archives and History,serial,jstor
Southwest Review,Humanities ; Language & Literature,1924,2011,southwestreview,Southern Methodist University,serial,jstor
Zeitschrift fÃ_r Slavische Philologie,Area Studies ; Humanities ; Language & Literature ; Linguistics ; Slavic Studies ; Social Sciences,1924,2012,zeitfurslavphil,UniversitÃ_tsverlag WINTER Gmbh,serial,jstor
The Journal of Clinical Investigation,J Clin Invest,1924,2017,na,American Society for Clinical Investigation,na,pmc europe
Artibus Asiae,Area Studies ; Art & Art History ; Arts ; Asian Studies,1925,2011,artibusasiae,Artibus Asiae Publishers,serial,jstor
Economic Geography,Business & Economics ; Economics ; Geography ; History ; History ; Social Sciences,1925,2011,econgeog,Clark University,serial,jstor
Gnomon,Classical Studies ; Humanities,1925,2011,gnomon,Verlag C.H.Beck,serial,jstor
The Irish Naturalists' Journal,Biological Sciences ; Botany & Plant Sciences ; Science & Mathematics ; Zoology,1925,2013,irisnatuj,Irish Naturalists' Journal Ltd.,serial,jstor
Language,Humanities ; Language & Literature ; Linguistics ; Social Sciences,1925,2011,language,Linguistic Society of America,serial,jstor
Minnesota History,American Studies ; Area Studies ; History ; History,1925,2016,minnhist,Minnesota Historical Society Press,serial,jstor
La Rassegna Mensile di Israel,Area Studies ; Jewish Studies,1925,2013,rassmensisrael,Unione delle ComunitÃ¡ Ebraiche Italiane,serial,jstor
The Review of English Studies,Humanities ; Language & Literature,1925,2011,revienglstud,Oxford University Press,serial,jstor
Social Forces,Social Sciences ; Sociology,1925,2013,socialforces,Oxford University Press,serial,jstor
The American Journal of Pathology,Am J Pathol,1925,2017,na,American Society for Investigative Pathology,na,pmc europe
Postgraduate Medical Journal,Postgrad Med J,1925,2007,na,BMJ Publishing Group,na,pmc europe
The Accounting Review,Business ; Business & Economics,1926,2011,accountingreview,American Accounting Association,serial,jstor
Archiv fÃ_r Orientforschung,Area Studies ; Middle East Studies,1926,2011,archorie,Archiv fÃ_r Orientforschung (AfO)/Institut fÃ_r Orientalistik,serial,jstor
The Eastern Buddhist,Area Studies ; Asian Studies ; Humanities ; Religion,1926,2013,easternbuddhist,Eastern Buddhist Society,serial,jstor
Italica,Education ; Humanities ; Language & Literature ; Social Sciences,1926,2014,italica,American Association of Teachers of Italian,serial,jstor
Kyoto University Economic Review,Business & Economics ; Economics,1926,2004,kyotuniveconrevi,Kyoto University,serial,jstor
Litoral,Humanities ; Language & Literature,1926,2011,litoral,Revista Litoral S.A.,serial,jstor
Oregon Historical Quarterly,American Studies ; Area Studies ; History ; History,1926,2013,oregonhistq,Oregon Historical Society,serial,jstor
Plant Physiology,Biological Sciences ; Botany & Plant Sciences ; Science & Mathematics,1926,2014,planphys,American Society of Plant Biologists (ASPB),serial,jstor
The Quarterly Review of Biology,Biological Sciences ; Ecology & Evolutionary Biology ; History ; History of Science & Technology ; Science & Mathematics,1926,2013,quarrevibiol,The University of Chicago Press,serial,jstor
Speculum,Art & Art History ; Arts ; History ; History ; Humanities ; Language & Literature,1926,2013,speculum,The University of Chicago Press,serial,jstor
The Yale University Library Gazette,Bibliography ; Humanities,1926,2008,yaleunivlibrgaze,Yale University,serial,jstor
Archives of Disease in Childhood,Arch Dis Child,1926,2007,na,BMJ Publishing Group,na,pmc europe
Aevum,History ; History ; Linguistics ; Social Sciences,1927,2011,aevum,Vita e Pensiero â€“ Pubblicazioni dellâ€™UniversitÃ  Cattolica del Sacro Cuore,serial,jstor
Agricultural History,History ; History,1927,2013,agrihist,Agricultural History Society,serial,jstor
BÃ©aloideas,Folklore ; Humanities,1927,2011,bealoideas,An Cumann Le BÃ©aloideas Ã‰ireann/Folklore of Ireland Society,serial,jstor
The Economic History Review,Business ; Business & Economics ; Economics ; History ; History,1927,2011,econhistrevi,Wiley,serial,jstor
The French Review,Education ; Humanities ; Language & Literature ; Social Sciences,1927,2011,frenchreview,American Association of Teachers of French,serial,jstor
Geography,Education ; Geography ; Social Sciences,1927,2013,geography,Geographical Association,serial,jstor
Journal of Paleontology,Biological Sciences ; Paleontology ; Science & Mathematics,1927,2012,jpaleontology,Paleontological Society,serial,jstor
Prairie Schooner,Humanities ; Language & Literature,1927,2013,prairieschooner,University of Nebraska Press,serial,jstor
Proceedings and Addresses of the American Philosophical Association,Humanities ; Philosophy,1927,2013,procaddramerphil,American Philosophical Association,serial,jstor
Social Service Review,Public Policy & Administration ; Social Sciences ; Social Work,1927,2013,sociservrevi,The University of Chicago Press,serial,jstor
